Tempo (s),PWM,Temperatura (ºC)
733,127,15.6402737
734,127,16.12903226
735,127,15.6402737
736,127,16.12903226
737,127,16.12903226
738,127,15.6402737
739,127,15.6402737
740,127,15.6402737
741,127,16.12903226
742,127,16.12903226
744,127,16.12903226
745,127,15.6402737
746,127,15.6402737
747,127,15.6402737
748,127,16.12903226
749,127,15.6402737
750,127,16.12903226
751,127,15.6402737
752,127,15.6402737
753,127,15.15151515
754,127,15.15151515
755,127,15.6402737
756,127,15.6402737
757,127,15.15151515
758,127,16.12903226
759,127,15.6402737
760,127,15.6402737
762,127,15.15151515
763,127,15.6402737
764,127,16.12903226
765,127,15.6402737
766,127,16.12903226
767,127,16.12903226
768,127,15.6402737
769,127,15.6402737
770,127,15.15151515
771,127,15.6402737
772,127,15.15151515
773,127,15.6402737
774,127,15.6402737
775,127,15.6402737
776,127,16.12903226
777,127,15.6402737
778,127,15.15151515
779,127,15.6402737
780,127,16.12903226
782,127,15.6402737
783,127,15.6402737
784,127,15.6402737
785,127,15.6402737
786,127,15.6402737
787,127,15.15151515
788,127,15.15151515
789,127,15.6402737
790,127,15.6402737
791,127,16.12903226
792,127,16.12903226
793,127,16.61779081
794,127,15.6402737
795,127,15.6402737
796,127,16.12903226
797,127,15.6402737
798,127,16.12903226
800,127,15.6402737
801,127,15.6402737
802,127,15.6402737
803,127,15.6402737
804,127,15.15151515
805,127,16.12903226
806,127,15.6402737
807,127,15.6402737
808,127,15.15151515
809,127,15.6402737
810,127,16.12903226
811,127,15.6402737
812,127,15.6402737
813,127,16.12903226
814,127,15.15151515
815,127,15.6402737
816,127,15.6402737
818,127,15.6402737
819,127,15.6402737
820,127,15.6402737
821,127,15.15151515
822,127,15.15151515
823,127,15.6402737
824,127,15.6402737
825,127,15.6402737
826,127,15.6402737
827,127,15.6402737
828,127,15.6402737
829,127,15.6402737
830,127,15.15151515
831,127,15.6402737
832,127,15.15151515
833,127,15.15151515
834,127,15.6402737
835,127,15.6402737
837,127,15.6402737
838,127,15.15151515
839,127,15.6402737
840,127,15.6402737
841,127,15.6402737
842,127,15.6402737
843,127,15.6402737
844,127,15.6402737
845,127,15.6402737
846,127,15.6402737
847,127,15.15151515
848,127,15.6402737
849,127,15.15151515
850,127,15.15151515
851,127,15.15151515
852,127,15.6402737
853,127,15.6402737
854,127,15.15151515
856,127,15.15151515
857,127,15.6402737
858,127,15.6402737
859,127,15.6402737
860,127,15.6402737
861,127,15.15151515
862,127,15.6402737
863,127,15.15151515
864,127,15.15151515
865,127,15.6402737
866,127,15.6402737
867,127,15.15151515
868,127,15.6402737
869,127,15.6402737
870,127,15.15151515
871,127,15.15151515
873,127,16.12903226
874,127,15.6402737
875,127,15.15151515
876,127,16.12903226
877,127,16.12903226
878,127,15.6402737
879,127,15.6402737
880,127,15.15151515
881,127,15.6402737
882,127,15.15151515
883,127,16.12903226
884,127,15.6402737
885,127,15.6402737
886,127,15.6402737
887,127,15.15151515
888,127,15.6402737
889,127,15.6402737
891,127,15.6402737
892,127,16.12903226
893,127,16.12903226
894,127,16.12903226
895,127,15.6402737
896,127,15.6402737
897,127,16.12903226
898,127,15.6402737
899,127,15.6402737
900,127,15.6402737
901,127,15.6402737
902,127,16.12903226
903,127,15.6402737
904,127,15.6402737
905,127,15.6402737
906,127,16.12903226
907,127,16.12903226
908,127,16.12903226
910,127,16.12903226
911,127,16.61779081
912,127,16.12903226
913,127,16.12903226
914,127,15.6402737
915,127,16.12903226
916,127,16.12903226
917,127,16.12903226
918,127,15.6402737
919,127,16.12903226
920,127,16.12903226
921,127,15.6402737
922,127,15.6402737
923,127,16.12903226
924,127,15.6402737
925,127,15.6402737
926,127,16.12903226
928,127,15.6402737
929,127,16.12903226
930,127,16.12903226
931,127,15.6402737
932,127,15.6402737
933,127,16.12903226
934,127,16.12903226
935,127,15.6402737
936,127,15.6402737
937,127,16.12903226
938,127,15.15151515
939,127,15.6402737
940,127,16.12903226
941,127,15.6402737
942,127,15.6402737
943,127,15.6402737
944,127,15.6402737
945,127,15.15151515
947,127,14.6627566
948,127,14.6627566
949,127,15.15151515
950,127,15.15151515
